IATA_CODE,AIRPORT,CITY,STATE,COUNTRY,LATITUDE,LONGITUDE,UTC_OFFSET
SFO,San Francisco International Airport,San Francisco,CA,USA,37.619,-122.37484,-7.0
SGF,Springfield-Branson National Airport,Springfield,MO,USA,37.24433,-93.38686,-5.0
SGU,St. George Regional Airport,St George,UT,USA,37.09058,-113.59306,-6.0
SHV,Shreveport Regional Airport,Shreveport,LA,USA,32.44663,-93.8256,-5.0
SIT,Sitka Rocky Gutierrez Airport,Sitka,AK,USA,57.04714,-135.3616,-8.0
SJC,Norman Y. Mineta San José International Airport,San Jose,CA,USA,37.36186,-121.92901,-7.0
SJT,San Angelo Regional Airport (Mathis Field),San Angelo,TX,USA,31.35775,-100.49631,-5.0
SJU,Luis Muñoz Marín International Airport,San Juan,PR,USA,18.43942,-66.00183,-4.0
SLC,Salt Lake City International Airport,Salt Lake City,UT,USA,40.78839,-111.97777,-6.0
SMF,Sacramento International Airport,Sacramento,CA,USA,38.69542,-121.59077,-7.0
SMX,Santa Maria Public Airport (Capt G. Allan Hancock Field),Santa Maria,CA,USA,34.89925,-120.45758,-7.0
SNA,John Wayne Airport (Orange County Airport),Santa Ana,CA,USA,33.67566,-117.86822,-7.0
SPI,Abraham Lincoln Capital Airport,Springfield,IL,USA,39.84395,-89.67762,-5.0
SPS,Wichita Falls Municipal Airport/Sheppard AFB,Wichita Falls,TX,USA,33.9888,-98.49189,-5.0
SRQ,Sarasota-Bradenton International Airport,Sarasota,FL,USA,27.39533,-82.55411,-4.0
STC,St. Cloud Regional Airport,St Cloud,MN,USA,45.54532,-94.05834,-5.0
STL,St. Louis International Airport at Lambert Field,St Louis,MO,USA,38.74769,-90.35999,-5.0
STT,Cyril E. King Airport,Charlotte Amalie,VI,USA,18.33731,-64.97336,-4.0
STX,Henry E. Rohlsen Airport,Christiansted,VI,USA,17.70189,-64.79856,-4.0
SUN,Friedman Memorial Airport,Hailey,ID,USA,43.50484,-114.29659,-6.0
